MES零件号,客户零件号,中文描述
A010503-2210,,523 高调手柄螺钉端盖黒色
A010503-2211,,523 高调手柄螺钉端盖棕色
A010503-2212,,523前排滑轨塑料端盖黒色PA66
A010503-2213,,523 内侧饰板-左黒色PP
A010503-2214,,523 内侧饰板-左棕色PP
A010503-2215,,523 6向外侧饰板-左黒色
A010503-2216,,523 6向外侧饰板-左棕色
A010503-2217,,523 外侧饰板-右黒色
A010503-2218,,523 外侧饰板-右棕色
A010503-2219,,523 高调手柄总成 左黒色
A010503-2220,,523 高调手柄总成 左棕色
A010503-2221,,523 靠背调角手柄 左黒色
A010503-2223,,523 靠背调角手柄 左棕色
A010503-2224,,523 4向手动内侧饰板-右黒色
A010503-2225,,523 4向手动内侧饰板RH棕色PP
A010503-2226,,523 电动外侧饰板8向-左PP+TD黒色
A010503-2227,,523 电动外侧饰板8向-左PP+TD棕色
A010503-2228,,523 靠背调角手柄 右黒色
A010503-2229,,523 靠背调角手柄 右棕色
A010503-2230,,523 二排靠背锁饰盖-右黒色PA6
A010503-2231,,523 二排靠背锁饰盖-左灰色PA6
A010503-2232,,523 二排靠背锁饰盖-右深咖色PA6
A010503-2233,,523 二排靠背锁饰盖-左黒色PA6
A010503-2234,,523 二排靠背锁饰盖-右灰色PA6
A010503-2235,,523 二排靠背锁饰盖-左深咖色PA6
A010503-2236,,523 二排安全带导向饰盖(取消生产)黒色PA6
A010503-2237,,523 二排安全带导向饰盖(取消生产)滑雪灰PA6
A010503-2238,,523 二排安全带导向饰盖(取消生产)深咖色PA6
A010503-2239,,523 儿童座椅钢丝外饰盖尼龙/黒色
A010503-2240,,523 儿童座椅钢丝外饰盖棕
A010503-2241,,523 塑胶卡环黒色PA6
A010503-2361,,A30 掀背门扣手盒总成_高配(深色)-M10
A010503-2362,,A30掀背门扣手盒总成低配（M10)
A010503-2375,,A30掀背门扣手螺栓饰盖_高配(深色M10)
A010503-2438,,A30 储物盒盖板_M10黑色
A010503-2448,,A30 手套箱框_低配M10素雅黑
A010503-2494,,A30掀背门 拉手盒高配总成浅冷灰（M56）
A010503-2495,,
A010503-2514,,553高调手柄总成RH黑色
A010503-2515,,553电动8向座椅外侧饰板LH黑色
A010503-2516,,553座椅手动4向座椅外侧饰板总成RH黒色
A010503-2517,,553 带腰托8向电动外侧饰板RHDX9黑色
A010503-2518,,553非折叠靠背/4向手动内侧饰板黒色
A010503-2519,,553 8向电动内侧饰板RH黑色
A010503-2520,,553中央扶手杯托黑色
A010503-2521,,553后排中央扶手骨架(DX9黑色）黒色DX9
A010503-2522,,553 中央扶手边框黒色DX9
A010503-2523,,553座椅后排座椅解锁机构外盖黒色DX9
A010503-2524,,553座椅后排座椅解锁机构外盖 左黒色DX9
A010503-2525,,553 6向手动外侧饰板RH黒色
A010503-2526,,553 6向手动内侧饰板RH黒色
A010503-2527,,553存储箱（DX9黑色）
A010503-2528,,553存储箱盖（DX9黑色）
A010503-2529,,553存储箱底座（DX9黑色）
A010503-2530,,553手动6向内侧饰板总RH（DX9黑色）
A010503-2531,,553手动6向外侧饰板总RH（DX9黑色）
A010503-2552,,A30 手套箱框_中高配M55深海蓝
A010503-2553,,A30 手套箱框_中高配M52栗棕色
A010503-2554,,A30 手套箱框_低配M55深海蓝
A010503-2555,,A30 手套箱框_低配M52栗棕色
A010503-2564,,523 儿童座椅钢丝外饰盖滑雪灰PS4
A010503-2565,,523 儿童座椅钢丝外饰盖深咖LTU
A010503-2566,,553 中央扶手边框  （ 取消不生产）PS4滑雪灰
A010503-2568,,553后排座椅解锁机构外盖RHPS4滑雪灰
A010503-2569,,553后排座椅解锁机构外盖RHLTU深咖
A010503-2570,,553后排座椅解锁机构外盖LHPS4滑雪灰
A010503-2571,,553后排座椅解锁机构外盖LHLTU深咖
A010503-2572,,二排安全带导向饰盖(PS4滑雪灰)
A010503-2573,,二排安全带导向饰盖_米色
A010503-2653,,553 二排安全带导向饰盖黑色
A010503-2654,,553 二排安全带导向饰盖PS4
A010503-2655,,553 二排安全带导向饰盖LTU
A010503-2687,,AE+驾驶侧下饰板总成M10
A010503-2979,,AGS-主动进气格栅总成_黑色
A010503-2980,,AL 衣帽钩 左M69
A010503-2981,,AL 衣帽钩 右M69
A010503-2982,,AL 衣帽钩 左M32
A010503-2983,,AL 衣帽钩 右M32
A010503-3144,,GUIDE FREERR HEAD REST(自由端头枕导套)
A010503-3145,,2SE锁止端头枕导套总成黑色
A010503-3146,,CLIP LRR ARM REST(中间扶手固定卡扣)
A010503-3147,,GUIDE WEBBINGRR CTR BELT(中间安全带导向环)
A010503-3165,,A32-手套箱右锁舌外衬套(M41绅士黑)
A010503-3166,,A32-手套箱左锁舌外衬套(M41绅士黑)
A010503-3204,,A06手套箱总成M10
A010503-3205,,导风罩总成
A010503-3386,,A06手套箱总成M52
A010503-3387,,553座椅后排座椅解锁机构外盖黒色DX9
A010503-3388,,553座椅后排座椅解锁机构外盖PS4滑雪灰
A010503-3389,,553座椅后排座椅解锁机构外盖LTU深咖
B010503-01011,,A56掀背门左维修孔盖板黒
B010503-01012,,A56掀背门右维修孔盖板黒
B010503-01013,,A56掀背门紧急开锁孔盖板黒
B010503-01031,,AL 左高调器按钮M32
B010503-01032,,AL 止位板 左M32
B010503-01033,,AL 右侧安全带滑片M32
B010503-01034,,AL 右高调器按钮M32
B010503-01035,,AL 止位板  右M32
B010503-01037,,AL-行李箱锁维修饰盖
B010503-01047,,A68 手套箱外板米色
B010503-01048,,A68手套箱内斗米色
B010503-01049,,A68 笔夹米色
B010503-01050,,A68驾驶侧下饰板本体米色
B010503-01051,,A68驾驶侧左置物盒米色
B010503-01058,,A68左A柱饰板螺栓饰盖-无字灰色
B010503-01062,,A68右A柱饰板螺栓饰盖-无字灰色
B010503-01067,,A68左B柱上饰板本体- 无字灰色
B010503-01068,,A68 安全带滑片 左灰色
B010503-01069,,A68 高调器按钮左浅灰色
B010503-01070,,A68 止位板 左浅灰色
B010503-01071,,A68左B柱饰板螺栓饰盖无字灰色
B010503-01077,,A68右B柱上饰板本体- 无字灰色
B010503-01078,,A68 安全带滑片 右灰色
B010503-01079,,A68 高调器按钮右浅灰色
B010503-01080,,A68 止位板 右浅灰色
B010503-01081,,A68右B柱饰板螺栓饰盖无字灰色
B010503-01090,,A68左C柱上饰板螺栓饰盖-无字灰色
B010503-01094,,A68右C柱上饰板螺栓饰盖-无字灰色
B010503-01096,,右C柱上饰板螺栓饰盖_浅灰色实色
B010503-01099,,A68行李舱后饰板本体（M10）黒色M10
B010503-01101,,A68 手套箱外板黒色
B010503-01102,,A68手套箱内斗黒色
B010503-01103,,A68 笔夹黒POM
B010503-01104,,A68驾驶侧下饰板本体黒色
B010503-01105,,A68驾驶侧左置物盒黒色
B010503-01108,,A68手套箱框本体黒色
B010503-01119,,A68左B柱上饰板本体- 无字M68米色
B010503-01125,,A68右B柱上饰板本体- 无字M68米色
B010503-01153,,AL手套箱内板（已植绒）
B010503-01182,,左前门窗框白钉焊接座
B010503-01183,,AL 右前门窗框饰板本体黒色PA6+GF15
B010503-01184,,右前门窗框白钉焊接座
B010503-01185,,AL 左后门窗框饰板本体 低配黒色PA6+GF15
B010503-01187,,AL 右后门窗框饰板本体 低配黒色PA6+GF15
B010503-01196,,AL 手套箱框雅米色
B010503-01197,,AL-手套箱外盖板（M32雅米色实色）
B010503-01199,,AL-手套箱开启缓冲垫本体（M10素雅黑实色）
B010503-01200,,AL-手套箱轴销(M10素雅黑)
B010503-01201,,AL 手套箱框黑色
B010503-01202,,AL-手套箱外盖板（M10素雅黑实色）
B010503-01206,,A28左前门上饰板安装支架(M67)深棕色
B010503-01208,,A28右前门上饰板安装支架(M67)深棕色
B010503-01210,,A28左前门上饰板安装支架深铁蓝
B010503-01212,,A28右前门上饰板安装支架深铁蓝
